YearMonth;Year;Month;HousePriceIndex;LeaseIndex;ConstructionCostIndex;RealEstateTransactions;LoansOfBanksToHouseholds;Un-indexedLoans;CentralBankRates;Inflation;PurchasingPower;PurchasingPowerOfWages;IndexLoans;CurrencyLoans;HousingStarts;HousingFinished
2011-12;2011;12;1,197794964;818,4238527;1,191897782;373;535928;547619;4,75;13,0767267;3,7;9,16;701849;466220;74;2706
2012-01;2012;01;1,210361399;819,3294393;1,198930255;372;536838;554185;4,75;14,34603602;2,45;9,13;702367;468946;1343;1809
2012-02;2012;02;1,208410448;817,9368067;1,183115857;354;535558;554956;4,75;14,90762161;4,62;11,25;701670;477746;1343;1809
2012-03;2012;03;1,210749736;823,48523;1,198809472;445;540288;526360;4,840909091;15,34457297;5,29;12,07;714507;474063;1343;1809
2012-04;2012;04;1,198293408;824,1790753;1,191463614;348;550899;535159;5;15,60674378;5,11;11,88;717068;465045;1343;1809
2012-05;2012;05;1,19341398;820,695211;1,195695004;492;566459;540987;5,25;14,76404627;5,31;11,03;738722;456254;1343;1809
2012-06;2012;06;1,200777586;814,306072;1,185563171;490;572193;538607;5,654761905;14,25842776;1,43;6,94;771266;432706;1343;1809
2012-07;2012;07;1,211660706;818,8850058;1,190184428;470;588427;546878;5,75;13,15505666;1,35;5,96;763841;408261;1343;1809
2012-08;2012;08;1,217756807;816,7502378;1,1813671;435;587671;555435;5,75;11,99303399;1,67;5,86;762750;414478;1343;1809
2012-09;2012;09;1,228752784;827,9745762;1,187103557;416;590084;546643;5,75;11,4958204;1,38;5,69;761640;409455;1343;1809
2012-10;2012;10;1,231510325;832,959476;1,192619309;552;600009;558077;5,75;11,09749224;0,85;5,08;750616;418165;1343;1809
2012-11;2012;11;1,223165009;829,9745005;1,181204441;563;604916;570132;5,897727273;11,15849534;0,44;4,99;751978;400643;1343;1809
2012-12;2012;12;1,235504936;830,303659;1,184302629;397;607084;576824;6;10,89509721;0,45;4,66;754449;404830;1343;1809
2013-01;2013;01;1,236282703;838,0152718;1,18291937;485;609952;579321;6;10,73705832;0,8;5,02;751322;399840;1343;1809
2013-02;2013;02;1,245607853;837,8150458;1,184980285;431;608065;586474;6;11,24223499;0,37;5,22;753081;377816;1343;1809
2013-03;2013;03;1,24236061;843,0863788;1,208980285;425;607995;581866;6;10,645341;1,46;5,47;767437;368522;1343;1809
2013-04;2013;04;1,220959748;843,3189221;1,189114;473;609792;577649;6;10,3872046;2,7278;7,496976536;762806;349954;1343;1809
2013-05;2013;05;1,227529887;842,5242629;1,185201232;485;616887;576554;6;10,23232276;2,7482;7,520290494;769242;362638;1343;1809
2013-06;2013;06;1,24579551;843,2138721;1,179909458;462;622232;579310;6;10,13939366;2,7686;7,543604452;773717;358667;1343;1809
2013-07;2013;07;1,265419431;845,7408944;1,185664258;559;627155;584789;6;10,08363619;2,789;7,56691841;773560;349658;1343;1809
2013-08;2013;08;1,258669836;843,5574933;1,178563164;476;627046;601082;6;10,05018172;2,8094;7,590232368;770373;345499;1343;1809
