Date;Sales;Season;Kalendar;Week-of-Month;Competitor spending;Salgdage;Unemployment rate;Tracking;Tracking-smoothed;Respons Media;Sol-Oslo;Oslo - Mean temperature;Oslo - Total precipitation;Bergen - Mean temperature;Bergen - Total precipitation;Print;InStore;DirectMarketing;RADIO;TV Taktisk;TV Image
2008-08;10167504.57;8035026.18;Normal;4;13.81822474;72;1.631746032;30.8;37.74889375;3778714.428;22.5;4.028571429;0.4;5.928571429;131.2;718593;4424;0;22183;0;798103
2008-09;14122404.87;8470026.18;Normal;1;14.12517458;72;1.628042328;36;36.94889375;4157086.848;28.9;3.314285714;15.2;4.185714286;104.7;1695394;4344;73554;11928;0;866635
2008-10;10355877.5;8467614.582;Normal;2;13.63153132;72;1.624338624;33.2;36.77746518;4193205.689;23;1.328571429;9.4;3.071428571;89.5;1395184;4144;257439;22183;0;760860
2008-11;9124651.29;8586927.793;Palmes¿ndag;3;13.30626216;72;1.620634921;38.64541833;36.7018782;6340065.729;21;3.571428571;22.1;5.457142857;38.4;2480664;4144;257439;22148;1584007;0
2008-12;9848203.83;9797220.436;1.easter;4;12.96468234;48;1.616931217;32.4;37.84473534;5595372.328;57.6;-1.771428571;6.5;1.371428571;17.5;1751552;4144;257439;11350;394717.8058;75660.19423
2008-13;5688556;7598088.732;2.easter;5;14.01795471;60;1.622751323;38.8;37.84473534;4578049.753;24.7;-0.357142857;16.9;2.257142857;27.8;487160;4144;257439;11928;0;655764
2008-14;14261978.94;7144988.18;Normal;1;14.3308549;72;1.623809524;33.06772908;38.41616392;4661220.921;15.9;4.7;29.7;6.214285714;49.5;1728705;4264;315177;0;0;720108
2008-15;9959642.56;8246382.293;Normal;2;14.81632455;72;1.623809524;38.8;37.54391595;4136939.064;11.5;3.357142857;36;5.271428571;18.1;991846;4284;324800;11928;0;522069
2008-16;15515156.44;9321535.847;Normal;3;14.30037936;72;1.623809524;36;37.71534452;4187632.438;68.6;6.271428571;4.5;6.6;6.2;1507944;906738;324800;326907;0;698544
2008-17;13678785;8920000;Normal;4;14.69291705;84;1.623809524;37.2;37.6010588;5904754.484;61.4;9.2;6.5;10;33.2;1465075;81739;324800;48481;1024550.717;98971.28259
2008-18;19727315.63;9007072.045;Kristi himmelfartsdag;1;14.07248576;72;1.625396825;32.53968254;37.50566893;6600365.301;30;12.6;18.6;11.25714286;38.7;4744812;81659;189864;93850;1023111;0
2008-19;16802702.54;9842072.045;1.pinse;2;13.96657565;72;1.629100529;33.6;37.73424036;7133784.857;86.9;15.07142857;0;13.57142857;0.1;5372925;31598;88662;35914;950605;0
2008-20;12404720.53;11180000;2.pinse;3;13.74547581;48;1.632804233;38;37.79138322;6532451.868;53.6;8.714285714;5.1;10.31428571;5.4;823020;31598;88662;57370;972272.4261;139678.5739
2008-21;16972684.91;12404284.49;Normal;4;14.089249;72;1.636507937;32.4;36.81995465;6041488.324;52.7;9.814285714;3.9;10.42857143;3.5;1230015;31598;88662;52276;0;2027858
2008-22;23853026.88;13245593.86;Normal;1;14.28940489;84;1.636507937;40.4;36;6104349.551;95.8;17.12857143;0;16.44285714;0;1897233;4173;125357;302572;0;1683878
2008-23;14316650.68;12012162.01;Normal;2;14.42125117;84;1.636507937;36.4;36;5520284.484;107;21.18571429;0;19.05714286;0;1210050;4347;345527;40208;0;753261
2008-24;17007593.03;13561082.71;Normal;3;13.9572154;72;1.636507937;30.4;35.6;6588069.681;31.3;13.72857143;5.7;11.18571429;44.6;1082228;4347;345527;52360;946479.8322;775.1677578
2008-25;16507610.62;14163478.13;Normal;4;14.19619589;72;1.636507937;26.8;35.08571429;7188296.447;43;13.34285714;20.3;11.85714286;79.1;4056406;4347;345527;53483;1154606.525;98943.47549
2008-26;15000510.63;14143477.98;Normal;1;14.14881926;72;1.636507937;33.6;34.34285714;5936371.908;56.2;14.24285714;24.9;12.2;41.5;910804;4347;345527;49322;0;413982
2008-27;18538415.15;11227632.99;Normal;2;14.28359162;72;1.642857143;35.2;34.51428571;5375022.458;66.4;18.65714286;17.5;18.82857143;15.7;1508334;204284;49361;303136;0;323118
2008-28;15328170.98;12601193.24;Normal;3;13.92208819;84;1.65026455;28.8;35.09944629;4965733.808;58.4;15.8;59.4;16.47142857;9.9;1519494;4277;0;8959;665350;0
2008-29;15622405.87;10135124.81;Normal;4;14.22228141;72;1.657671958;35.2;35.45614272;4566130.916;43.7;15.58571429;15;13.65714286;71.4;1472359;4277;0;9114;590390;0
2008-30;12842223.02;9892568.77;Normal;5;13.72885159;72;1.666137566;37.6;35.17042843;4072654.234;77.2;21.11428571;26.2;19.84285714;1.4;1219362;4277;0;9114;539098.8615;59017.13852
2008-31;15588233.87;9898061.919;Normal;1;13.95344775;72;1.677248677;34.49612403;35.05614272;3624586.319;49.8;20.15714286;38.3;20.78571429;41.4;368906;4277;144513;9114;0;413145
2008-32;13022812.04;10325000;Normal;2;13.85079647;72;1.688359788;29.296875;35.22757129;3246460.539;15.4;14.47142857;22.5;15.82857143;30.3;532172;4277;337197;0;0;484231
2008-33;13710303.39;11659251.61;Normal;3;14.12449951;72;1.699470899;31.6;34.99899986;2903639.439;42.4;15.12857143;70;14.44285714;78;557591;4277;337197;11928;0;398068
2008-34;16954172.91;10684033.27;Normal;4;13.91708762;84;1.710582011;34.4;34.1447932;4445474.236;47.1;14.98571429;65.5;15.74285714;0.2;848510;4277;337197;11928;877077.3846;813.6153846
2008-35;19113780.67;11535073.1;Normal;1;14.05996654;84;1.729100529;30;34.01677548;5528876.66;45;14.7;15;14.71428571;40.4;4055741;4277;337197;11928;1249242;0
2008-36;15567409.08;12475347.12;Normal;2;13.95221477;72;1.747619048;33.6;34.38472333;5460483.067;22.7;13.15714286;22.6;13.67142857;46;2411103;4417;258755;303417;0;405060
2008-37;9733873.41;13096934.19;Normal;3;14.27425419;84;1.766137566;31.62055336;34.09900905;6306704.877;7.7;10.68571429;21.6;14.98571429;2.4;1014430;4417;258755;11928;843243;0
